year,age,births
1970,28,3297
1970,29,3057
1970,30,2373
1970,31,1764
1970,32,1452
1970,33,1266
1970,34,1125
1970,35,915
1970,36,729
1970,37,636
1970,38,561
1970,39,516
1970,40,339
1970,41,222
1970,42,213
1970,43,117
1970,44,81
1970,45,36
1970,46,21
1971,14,45
1971,15,219
1971,16,840
1971,17,1728
1971,18,2670
1971,19,3312
1971,20,3951
1971,21,4524
1971,22,4932
1971,23,5364
1971,24,5451
1971,25,4698
1971,26,4293
1971,27,3654
1971,28,3171
1971,29,2973
1971,30,2589
1971,31,1995
1971,32,1620
1971,33,1299
1971,34,1059
1971,35,855
1971,36,684
1971,37,591
1971,38,510
1971,39,408
1971,40,348
1971,41,237
1971,42,174
1971,43,117
1971,44,78
1971,45,30
1971,46,21
1972,14,36
1972,15,261
1972,16,897
1972,17,1920
1972,18,2712
1972,19,3315
1972,20,3825
1972,21,4362
1972,22,4719
1972,23,5076
1972,24,5325
1972,25,5109
1972,26,4311
1972,27,3774
1972,28,3045
1972,29,2538
1972,30,2331
1972,31,1959
1972,32,1563
1972,33,1272
1972,34,987
1972,35,843
1972,36,732
1972,37,519
1972,38,462
1972,39,408
1972,40,294
1972,41,240
1972,42,159
1972,43,93
1972,44,60
1972,45,39
1972,46,15
1973,14,60
1973,15,297
1973,16,957
1973,17,1854
1973,18,2466
1973,19,3159
1973,20,3657
1973,21,4077
1973,22,4506
1973,23,4797
1973,24,4899
1973,25,4944
1973,26,4542
1973,27,3777
1973,28,3135
1973,29,2559
1973,30,2169
1973,31,1821
1973,32,1515
1973,33,1200
1973,34,960
1973,35,762
1973,36,630
1973,37,504
1973,38,384
1973,39,306
1973,40,228
1973,41,192
1973,42,153
1973,43,87
1973,44,54
1973,45,30
1973,46,12
1974,14,57
1974,15,330
1974,16,987
1974,17,1794
1974,18,2445
1974,19,2979
1974,20,3498
1974,21,3993
1974,22,4365
1974,23,4644
1974,24,4899
1974,25,4770
1974,26,4647
1974,27,3993
1974,28,3096
1974,29,2577
1974,30,2052
1974,31,1647
1974,32,1500
1974,33,1149
1974,34,894
1974,35,705
1974,36,564
1974,37,447
1974,38,399
1974,39,276
1974,40,210
1974,41,153
1974,42,117
1974,43,63
1974,44,33
1974,45,24
1974,46,9
1975,14,69
1975,15,291
1975,16,969
1975,17,1617
1975,18,2253
1975,19,2793
1975,20,3306
1975,21,3714
1975,22,4026
1975,23,4488
1975,24,4506
1975,25,4623
1975,26,4368
1975,27,3939
1975,28,3534
1975,29,2616
1975,30,2106
1975,31,1554
1975,32,1278
1975,33,1068
1975,34,846
1975,35,639
1975,36,525
1975,37,399
1975,38,297
1975,39,234
1975,40,192
1975,41,135
1975,42,102
1975,43,60
1975,44,42
1975,45,30
1975,46,12
1976,14,66
1976,15,282
1976,16,891
1976,17,1551
1976,18,2010
1976,19,2682
1976,20,3150
1976,21,3600
1976,22,3945
1976,23,4302
1976,24,4470
1976,25,4386
1976,26,4110
1976,27,3795
1976,28,3453
1976,29,2973
1976,30,2109
1976,31,1686
1976,32,1239
1976,33,999
1976,34,873
1976,35,642
1976,36,549
1976,37,354
1976,38,270
1976,39,213
1976,40,156
1976,41,117
1976,42,84
1976,43,60
1976,44,42
1976,45,24
1976,46,6
1977,14,45
1977,15,306
1977,16,831
1977,17,1425
1977,18,2064
1977,19,2520
1977,20,2994
1977,21,3483
1977,22,3804
1977,23,4050
1977,24,4239
1977,25,4197
1977,26,4044
1977,27,3867
1977,28,3453
1977,29,3063
1977,30,2457
1977,31,1752
1977,32,1290
1977,33,969
1977,34,822
1977,35,648
1977,36,507
1977,37,378
1977,38,279
1977,39,195
1977,40,180
1977,41,120
1977,42,81
1977,43,51
1977,44,33
1977,45,9
1977,46,9
1978,14,54
1978,15,270
1978,16,810
1978,17,1398
1978,18,1836
1978,19,2388
1978,20,2694
1978,21,3123
1978,22,3435
1978,23,3933
1978,24,3936
1978,25,4035
1978,26,3837
1978,27,3462
1978,28,3258
1978,29,2763
1978,30,2391
1978,31,1974
1978,32,1284
1978,33,1011
1978,34,738
1978,35,624
1978,36,459
1978,37,372
1978,38,297
1978,39,222
1978,40,126
1978,41,117
1978,42,75
1978,43,57
1978,44,24
1978,45,12
1978,46,9
1979,14,42
1979,15,204
1979,16,669
1979,17,1314
1979,18,1878
1979,19,2268
1979,20,2700
1979,21,2940
1979,22,3510
1979,23,3915
1979,24,3990
1979,25,4047
1979,26,4062
1979,27,3837
1979,28,3348
1979,29,3003
1979,30,2463
1979,31,1977
1979,32,1680
1979,33,1161
1979,34,801
1979,35,651
1979,36,507
1979,37,360
1979,38,303
1979,39,225
1979,40,135
1979,41,96
1979,42,78
1979,43,45
1979,44,27
1979,45,12
1979,46,9
1980,14,39
1980,15,189
1980,16,570
1980,17,1176
1980,18,1725
1980,19,2205
1980,20,2673
1980,21,2952
1980,22,3405
1980,23,3657
1980,24,3930
1980,25,4056
1980,26,3834
1980,27,3600
1980,28,3120
1980,29,2883
1980,30,2418
1980,31,2052
1980,32,1578
1980,33,1209
1980,34,864
1980,35,663
1980,36,453
1980,37,360
1980,38,306
1980,39,222
1980,40,132
1980,41,105
1980,42,63
1980,43,33
1980,44,27
1980,45,15
1980,46,9
1981,14,39
1981,15,156
1981,16,582
1981,17,1080
1981,18,1677
1981,19,2199
