produced,smoothed,day
23458,23487.085920254744,252
32262,23683.079443684226,253
10914,23880.034812974205,254
14384,24077.88853426093,255
32205,24276.576882181602,256
26418,24476.035921687144,257
11907,24676.201529898462,258
28650,24877.009417999274,259
11996,25078.39515315584,260
31464,25280.294180457917,261
38934,25482.64184487023,262
26666,25685.373413188674,263
12354,25888.424095992013,264
7867,26091.72906958015,265
10168,26295.223497895044,266
28080,26498.842554410177,267
28926,26702.521443987367,268
25415,26906.195424685327,269
21581,27109.79982952132,270
27523,27313.270088169462,271
31832,27516.54174859263,272
9580,27719.55049859958,273
11167,27922.232187318295,274
27971,28124.52284657974,275
18497,28326.35871220188,276
29357,28527.676245168943,277
20676,28728.41215269697,278
28312,28928.503409177603,279
35260,29127.887276995258,280
22675,29326.50132720766,281
30795,29524.283460081962,282
12952,29721.171925484872,283
13931,29917.105343109608,284
11846,30112.02272254428,285
17555,30305.8634831644,286
32861,30498.567473850373,287
33507,30690.07499251634,288
47922,30880.326805450677,289
40954,31069.264166455687,290
31366,31256.82883578213,291
17159,31442.963098853463,292
4201,31627.609784770197,293
29442,31810.712284591056,294
11177,31992.214569383214,295
34392,32172.061208035484,296
26920,32350.197384829524,297
39781,32526.56891676075,298
10920,32701.122270607826,299
26742,32873.804579737414,300
42201,33044.56366064834,301
40888,33213.3480292412,302
35761,33380.106916811936,303
42170,33544.790285764146,304
40879,33707.34884503476,305
45653,33867.73406522734,306
44684,34025.898193449,307
41973,34181.79426784304,308
29041,34335.37613182202,309
33306,34486.598447981814,310
51189,34635.41671170765,311
49396,34781.78726445571,312
18832,34925.667306716015,313
29682,35067.01491064252,314
32163,35205.78903235699,315
38448,35341.94952391496,316
34332,35475.4571449342,317
47704,35606.273573879924,318
51062,35734.361419006986,319
48987,35859.68422895163,320
36243,35982.206502971705,321
19971,36101.89370083451,322
29191,36218.71225234475,323
50330,36332.62956651457,324
45737,36443.61404037147,325
42779,36551.63506740043,326
39229,36656.66304562011,327
34556,36758.66938528997,328
29883,36857.626516247736,329
14798,36953.50789487321,330
46699,37046.28801067854,331
50815,37135.94239252412,332
35254,37222.44761445591,333
25131,37305.78130116612,334
49802,37385.9221330765,335
21794,37462.84985103656,336
39311,37536.545260649706,337
34688,37606.990236209866,338
27287,37674.16772426271,339
48969,37738.06174678268,340
40436,37798.65740396807,341
52213,37855.94087665545,342
51816,37909.89942835173,343
51935,37960.521406884625,344
48978,38007.79624567365,345
41144,38051.71446461818,346
48547,38092.2676706102,347
50625,38129.44855766423,348
19262,38163.25090667068,349
33818,38193.66958477558,350
37831,38220.70054438236,351
23918,38244.34082177921,352
44739,38264.58853539851,353
45791,38281.44288369957,354
42056,38294.90414269093,355
26665,38304.973663078286,356
49120,38311.65386705341,357
47134,38314.94824471801,358
15376,38314.86135015029,359
30726,38311.39879711161,360
49544,38304.56725440145,361
23210,38294.37444085893,362
44650,38280.82912001531,363
29004,38263.94109440271,364
